$ npm run lint -- --format=compact | grep no-unused-vars
/home/kalvis/git/@kobo/kpi/jsapp/js/components/submissions/submissionDataTable.tsx: line 35, col 9, Warning - 'PROCESSING_QUESTION_TYPES' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/submissions/table.tsx: line 1403, col 21, Warning - '_' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/usageLimits/useExceedingLimits.hook.ts: line 26, col 10, Warning - 'state' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/usageLimits/useExceedingLimits.hook.ts: line 27, col 17, Warning - '_' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/components/usageLimits/useExceedingLimits.hook.ts: line 5, col 9, Warning - 'convertSecondsToMinutes' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/editorMixins/cascadeMixin.es6: line 39, col 23, Warning - 'evt' is defined but never used. (no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/editorMixins/editableForm.es6: line 585, col 7, Warning - 'showAllOpen' is assigned a value but never used. (no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/main.es6: line 67, col 14, Warning - 'err' is defined but never used. (no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/mixins.tsx: line 6, col 9, Warning - 'stores' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/projects/customViewStore.tests.ts: line 19, col 13, Warning - 'store' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/projects/customViewStore.tests.ts: line 8, col 13, Warning - 'store' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/router/legacy.tsx: line 57, col 26, Warning - '_' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/searches.d.ts: line 2, col 9, Warning - 'forceRefreshFormsList' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores.d.ts: line 15, col 9, Warning - 'allAssets' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores.d.ts: line 4, col 9, Warning - 'tags' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores.d.ts: line 5, col 9, Warning - 'surveyState' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores.d.ts: line 6, col 9, Warning - 'assetSearch' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores.d.ts: line 7, col 9, Warning - 'translations' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores.d.ts: line 8, col 9, Warning - 'snapshots' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores.d.ts: line 9, col 9, Warning - 'session' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores.es6: line 23, col 3, Warning - 'log' is defined but never used. (no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores.es6: line 28, col 7, Warning - 'cookies' is assigned a value but never used. (no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores/session.ts: line 111, col 14, Warning - 'err' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/stores/session.ts: line 8, col 20, Warning - 'handleApiFail' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/utils.ts: line 261, col 12, Warning - 'e' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/utils.ts: line 43, col 14, Warning - 'err' is defined but never used. (@typescript-eslint/no-unused-vars)
